OID_,HUC_12,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,VARIETY,MAJORITY,MINORITY,MEDIAN,PCT95
1,071000081301,1,116533.000000000000000,104879700.000000000000000,11,95,84,65.204131018680954,21.054050637505604,7598433.000000000000000,15,81,31,81,82
2,071000081302,2,118640.000000000000000,106776000.000000000000000,11,95,84,68.327511800405318,21.924297010522967,8106376.000000000000000,15,81,31,81,82
3,070801021002,3,110625.000000000000000,99562500.000000000000000,11,95,84,72.013541242937464,20.898608007107615,7966498.000000000000000,15,82,52,82,90
4,070600060501,4,128130.000000000000000,115317000.000000000000000,11,95,84,75.147506438773462,18.068597690334883,9628650.000000000000000,15,82,42,82,82
5,070802070902,5,151454.000000000000000,136308600.000000000000000,11,95,84,71.761934316690727,20.442982999604830,10868632.000000000000000,15,82,52,82,82
6,070802051004,6,172694.000000000000000,155424600.000000000000000,11,95,84,78.060957531818588,14.471559844505734,13480659.000000000000000,15,82,42,82,82
7,102300060602,7,103625.000000000000000,93262500.000000000000000,11,95,84,43.793177322074698,28.456864760608156,4538068.000000000000000,15,23,42,24,90
8,102300050309,8,156782.000000000000000,141103800.000000000000000,11,95,84,68.783980303860929,20.408789932664028,10784090.000000000000000,15,82,31,82,82
9,102300050308,9,128442.000000000000000,115597800.000000000000000,11,95,84,76.409274224942621,16.498837961316219,9814160.000000000000000,15,82,42,82,82
10,071000081304,10,130618.000000000000000,117556200.000000000000000,11,95,84,61.165574423127197,21.696258176768328,7989325.000000000000000,15,41,31,81,82
11,070802040502,11,104539.000000000000000,94085100.000000000000000,11,95,84,78.338792221085427,14.265229793678532,8189459.000000000000000,13,82,90,82,82
12,070802050303,12,63639.000000000000000,57275100.000000000000000,11,95,84,77.312449912788693,15.534538356775981,4920087.000000000000000,14,82,31,82,82
13,102300040102,13,156216.000000000000000,140594400.000000000000000,11,95,84,78.670283453679687,13.570519033941551,12289557.000000000000000,13,82,41,82,82
14,071000030903,14,161243.000000000000000,145118700.000000000000000,11,95,84,78.769887685046044,14.580471179133601,12701093.000000000000000,15,82,42,82,90
15,070802070302,15,117273.000000000000000,105545700.000000000000000,11,95,84,76.254593981563900,18.422401246321652,8942605.000000000000000,15,82,52,82,90
16,102400010101,16,144691.000000000000000,130221900.000000000000000,11,90,79,79.420710341348695,12.123950381245441,11491462.000000000000000,12,82,11,82,82
17,070600030705,17,62551.000000000000000,56295900.000000000000000,11,95,84,59.780962734408419,30.833590966605929,3739359.000000000000000,15,82,52,81,95
18,070801020902,18,92091.000000000000000,82881900.000000000000000,11,95,84,77.775993310964452,14.470272970452838,7162469.000000000000000,15,82,42,82,82
19,070600040304,19,80645.000000000000000,72580500.000000000000000,11,95,84,76.784400768801319,15.684728824111327,6192278.000000000000000,15,82,42,82,82
20,102300030402,20,105538.000000000000000,94984200.000000000000000,11,95,84,78.919848774848660,13.488290694908871,8329043.000000000000000,14,82,41,82,82
21,070802030306,21,89924.000000000000000,80931600.000000000000000,11,95,84,69.055491303766260,23.765614805234566,6209746.000000000000000,15,82,42,82,82
22,102300050104,22,101089.000000000000000,90980100.000000000000000,11,95,84,78.492833048106192,14.075829848317248,7934762.000000000000000,12,82,43,82,82
23,070600060802,23,137494.000000000000000,123744600.000000000000000,11,95,84,73.202590658501435,17.964578925062185,10064917.000000000000000,15,82,90,82,82
24,070801050401,24,106033.000000000000000,95429700.000000000000000,11,95,84,78.740505314381409,13.493336821442899,8349092.000000000000000,14,82,42,82,82
25,070802070402,25,58242.000000000000000,52417800.000000000000000,11,95,84,75.388654235774254,16.716415786834705,4390786.000000000000000,15,82,31,82,82
26,070801060202,26,77278.000000000000000,69550200.000000000000000,11,95,84,77.330145707704759,15.348495327373351,5975919.000000000000000,15,82,42,82,82
27,070802051503,27,95720.000000000000000,86148000.000000000000000,11,95,84,66.553875888007738,23.560633021080083,6370537.000000000000000,15,82,31,81,90
28,071000080904,28,116539.000000000000000,104885100.000000000000000,11,95,84,70.551103064209812,19.781055247258958,8221955.000000000000000,15,82,31,81,82
29,070600011003,29,22892.000000000000000,20602800.000000000000000,11,95,84,42.441158483312677,21.312008786717378,971563.000000000000000,15,41,52,41,82
30,070801010604,30,49143.000000000000000,44228700.000000000000000,11,95,84,57.246138819364589,27.460135210865658,2813247.000000000000000,15,82,31,81,82
31,070802051003,31,120467.000000000000000,108420300.000000000000000,11,95,84,77.575809142753485,15.284130401370328,9345325.000000000000000,15,82,52,82,82
32,102802010205,32,106835.000000000000000,96151500.000000000000000,11,95,84,73.774137688959073,17.859407868329615,7881660.000000000000000,15,82,31,81,82
33,102802010201,33,58693.000000000000000,52823700.000000000000000,11,95,84,78.465115090384984,13.343673857035151,4605353.000000000000000,15,82,42,82,82
34,071000061602,34,108674.000000000000000,97806600.000000000000000,11,95,84,32.381047904741607,22.026627961347778,3518978.000000000000000,15,22,42,23,82
35,102400010106,35,52530.000000000000000,47277000.000000000000000,11,95,84,71.657833618884993,23.020121269784234,3764186.000000000000000,15,82,42,82,82
36,102300060405,36,116195.000000000000000,104575500.000000000000000,11,95,84,76.182796161625390,17.137156494117590,8852060.000000000000000,14,82,52,82,82
37,102400010103,37,152424.000000000000000,137181600.000000000000000,11,95,84,77.831004303784894,14.268927979099805,11863313.000000000000000,14,82,42,82,82
38,102300070306,38,135613.000000000000000,122051700.000000000000000,11,95,84,73.272813078392403,18.704714727521846,9936746.000000000000000,15,82,43,82,82
39,070802070602,39,128428.000000000000000,115585200.000000000000000,11,95,84,78.316457470334441,14.356796138034181,10058026.000000000000000,13,82,43,82,82
40,070801041101,40,106650.000000000000000,95985000.000000000000000,11,95,84,75.704838255977251,16.806059453372828,8073921.000000000000000,15,82,52,82,82
41,070600060402,41,112224.000000000000000,101001600.000000000000000,11,95,84,77.740510051325231,14.189016400851122,8724351.000000000000000,15,82,42,82,82
42,070802051502,42,99128.000000000000000,89215200.000000000000000,11,95,84,75.637317407796957,17.086802192640366,7497776.000000000000000,15,82,31,82,82
43,071000081306,43,112815.000000000000000,101533500.000000000000000,11,95,84,66.470699818285823,20.857265583441666,7498892.000000000000000,14,81,24,81,82
44,070802051501,44,79560.000000000000000,71604000.000000000000000,11,95,84,75.333547008545793,18.161150747364658,5993537.000000000000000,15,82,31,82,82
45,102300010302,45,55409.000000000000000,49868100.000000000000000,11,95,84,53.582053457018944,24.156179372869030,2968928.000000000000000,15,71,42,71,82
46,070600060605,46,116956.000000000000000,105260400.000000000000000,11,95,84,72.688823147167099,18.301338128793745,8501394.000000000000000,15,82,52,82,82
47,071000090102,47,160364.000000000000000,144327600.000000000000000,11,95,84,67.732190516573752,21.413428711892365,10861805.000000000000000,15,82,42,81,82
